BIN_ID,BIN,Network,Profile,PAN,CVV2,EXP_YYMM,Nombre,Track1,Track2
BIN-01,499273,Visa-like (4xx),Agencia,4992731043321811,704,2812,TEST/REDTEAM,%B4992731043321811^TEST/REDTEAM^28121015320000000000000?,;4992731043321811=28121015320000000000?
BIN-01,499273,Visa-like (4xx),Agencia,4992730013389089,303,2812,TEST/REDTEAM,%B4992730013389089^TEST/REDTEAM^28121018330000000000000?,;4992730013389089=28121018330000000000?
BIN-01,499273,Visa-like (4xx),Agencia,4992738637940260,448,2812,TEST/REDTEAM,%B4992738637940260^TEST/REDTEAM^28121013840000000000000?,;4992738637940260=28121013840000000000?
BIN-01,499273,Visa-like (4xx),Agencia,4992732351161559,718,2812,TEST/REDTEAM,%B4992732351161559^TEST/REDTEAM^28121013700000000000000?,;4992732351161559=28121013700000000000?
BIN-01,499273,Visa-like (4xx),Agencia,4992730781618495,982,2812,TEST/REDTEAM,%B4992730781618495^TEST/REDTEAM^28121014700000000000000?,;4992730781618495=28121014700000000000?
BIN-01,499273,Visa-like (4xx),Agencia,4992739310341313,489,2812,TEST/REDTEAM,%B4992739310341313^TEST/REDTEAM^28121013840000000000000?,;4992739310341313=28121013840000000000?
BIN-01,499273,Visa-like (4xx),Agencia,4992737525534193,750,2812,TEST/REDTEAM,%B4992737525534193^TEST/REDTEAM^28121012750000000000000?,;4992737525534193=28121012750000000000?
BIN-01,499273,Visa-like (4xx),Agencia,4992738327648355,963,2812,TEST/REDTEAM,%B4992738327648355^TEST/REDTEAM^28121018860000000000000?,;4992738327648355=28121018860000000000?
BIN-01,499273,Visa-like (4xx),Agencia,4992730305641395,997,2812,TEST/REDTEAM,%B4992730305641395^TEST/REDTEAM^28121018350000000000000?,;4992730305641395=28121018350000000000?
BIN-01,499273,Visa-like (4xx),Agencia,4992735376724236,862,2812,TEST/REDTEAM,%B4992735376724236^TEST/REDTEAM^28121016740000000000000?,;4992735376724236=28121016740000000000?
